County,Inspection Date,Owner Name,Trade Name,Street,City,State Code,Zip Code,Deficiency Number,Deficiency Description,Location 1
Greene,05/16/2017,CVS ALBANY LLC,CVS PHARMACY 05036,7600 RTE 32# PO BOX 140,CAIRO,NY,12413,04F,"Insect, rodent, bird or vermin activity likely to result in product contamination","7600 RTE
CAIRO, NY 12413
"
Greene,05/16/2017,CVS ALBANY LLC,CVS PHARMACY 05036,7600 RTE 32# PO BOX 140,CAIRO,NY,12413,10A,Exterior of unsuitable construction or not in good physical repair,"7600 RTE
CAIRO, NY 12413
"
Greene,05/16/2017,CVS ALBANY LLC,CVS PHARMACY 05036,7600 RTE 32# PO BOX 140,CAIRO,NY,12413,10B,Establishment has insufficient space to accommodate operations,"7600 RTE
CAIRO, NY 12413
"
Greene,05/16/2017,CVS ALBANY LLC,CVS PHARMACY 05036,7600 RTE 32# PO BOX 140,CAIRO,NY,12413,10C,"Interior floors, walls, ceilings or fixtures are not of suitable construction, clean or well maintained","7600 RTE
CAIRO, NY 12413
"
Lewis,01/06/2017,LOCK 96 LLC,LOCK 96,3205 STATE RT 12 #,PORT LEYDEN,NY,13433,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"3205 STATE
PORT LEYDEN, NY 13433
"
Lewis,01/06/2017,LOCK 96 LLC,LOCK 96,3205 STATE RT 12 #,PORT LEYDEN,NY,13433,09A,Handwashing facilities improperly installed or maintained,"3205 STATE
PORT LEYDEN, NY 13433
"
Lewis,01/06/2017,LOCK 96 LLC,LOCK 96,3205 STATE RT 12 #,PORT LEYDEN,NY,13433,11D,"Locker or dressing rooms are not segregated from food areas, clean or orderly","3205 STATE
PORT LEYDEN, NY 13433
"
Lewis,01/06/2017,LOCK 96 LLC,LOCK 96,3205 STATE RT 12 #,PORT LEYDEN,NY,13433,12A,"Food not stored, conveyed or displayed in a manner that prevents contamination including marginal temperature deficiencies","3205 STATE
PORT LEYDEN, NY 13433
"
Lewis,01/06/2017,LOCK 96 LLC,LOCK 96,3205 STATE RT 12 #,PORT LEYDEN,NY,13433,12B,"Food or ingredient storage containers are not clean, covered or properly identified","3205 STATE
PORT LEYDEN, NY 13433
"
Lewis,01/06/2017,LOCK 96 LLC,LOCK 96,3205 STATE RT 12 #,PORT LEYDEN,NY,13433,15A,"Food contact equipment, utensils or conveyances: contact surfaces unclean or not properly sanitized","3205 STATE
PORT LEYDEN, NY 13433
"
Lewis,01/06/2017,LOCK 96 LLC,LOCK 96,3205 STATE RT 12 #,PORT LEYDEN,NY,13433,15C,"Food equipment improperly designed, constructed or maintained","3205 STATE
PORT LEYDEN, NY 13433
"
Lewis,01/06/2017,LOCK 96 LLC,LOCK 96,3205 STATE RT 12 #,PORT LEYDEN,NY,13433,15D,Thermometers not provided where required,"3205 STATE
PORT LEYDEN, NY 13433
"
Madison,05/09/2017,EARLEY FARM & HARDWARE INC,EARLEY FARM & HARDWARE,7967 RT 20,MADISON,NY,13402,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","7967 RT
MADISON, NY 13402
"
Madison,05/09/2017,EARLEY FARM & HARDWARE INC,EARLEY FARM & HARDWARE,7967 RT 20,MADISON,NY,13402,09A,Handwashing facilities improperly installed or maintained,"7967 RT
MADISON, NY 13402
"
Madison,05/09/2017,EARLEY FARM & HARDWARE INC,EARLEY FARM & HARDWARE,7967 RT 20,MADISON,NY,13402,09F,"Cleaning or sanitizing equipment, materials or agents are not available, suitable or properly stored","7967 RT
MADISON, NY 13402
"
Madison,05/09/2017,EARLEY FARM & HARDWARE INC,EARLEY FARM & HARDWARE,7967 RT 20,MADISON,NY,13402,10C,"Interior floors, walls, ceilings or fixtures are not of suitable construction, clean or well maintained","7967 RT
MADISON, NY 13402
"
Madison,05/09/2017,EARLEY FARM & HARDWARE INC,EARLEY FARM & HARDWARE,7967 RT 20,MADISON,NY,13402,12F,Improper thawing procedures are utilized,"7967 RT
MADISON, NY 13402
"
Madison,05/09/2017,EARLEY FARM & HARDWARE INC,EARLEY FARM & HARDWARE,7967 RT 20,MADISON,NY,13402,15A,"Food contact equipment, utensils or conveyances: contact surfaces unclean or not properly sanitized","7967 RT
MADISON, NY 13402
"
Onondaga,07/05/2017,TARGET CORPORATION,TARGET 1475,3857 RT 31,LIVERPOOL,NY,13090,04G,Evidence of leakage or backup  in sewage lines,"3857 RT
LIVERPOOL, NY 13090
"
Onondaga,07/05/2017,TARGET CORPORATION,TARGET 1475,3857 RT 31,LIVERPOOL,NY,13090,09A,Handwashing facilities improperly installed or maintained,"3857 RT
LIVERPOOL, NY 13090
"
Onondaga,07/05/2017,TARGET CORPORATION,TARGET 1475,3857 RT 31,LIVERPOOL,NY,13090,09F,"Cleaning or sanitizing equipment, materials or agents are not available, suitable or properly stored","3857 RT
LIVERPOOL, NY 13090
"
Onondaga,07/05/2017,TARGET CORPORATION,TARGET 1475,3857 RT 31,LIVERPOOL,NY,13090,10A,Exterior of unsuitable construction or not in good physical repair,"3857 RT
LIVERPOOL, NY 13090
"
Onondaga,07/05/2017,TARGET CORPORATION,TARGET 1475,3857 RT 31,LIVERPOOL,NY,13090,15C,"Food equipment improperly designed, constructed or maintained","3857 RT
LIVERPOOL, NY 13090
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,06B,Potentially hazardous foods are not stored at safe temperatures,"7813 7817 15TH AVE
BROOKLYN, NY 11228
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,09G,Sanitizing test devices not in use where required,"7813 7817 15TH AVE
BROOKLYN, NY 11228
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,10A,Exterior of unsuitable construction or not in good physical repair,"7813 7817 15TH AVE
BROOKLYN, NY 11228
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,10C,"Interior floors, walls, ceilings or fixtures are not of suitable construction, clean or well maintained","7813 7817 15TH AVE
BROOKLYN, NY 11228
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,11B," Not wearing clean outer garments, effective hair restraints or secure jewelry","7813 7817 15TH AVE
BROOKLYN, NY 11228
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,11D,"Locker or dressing rooms are not segregated from food areas, clean or orderly","7813 7817 15TH AVE
BROOKLYN, NY 11228
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,12A,"Food not stored, conveyed or displayed in a manner that prevents contamination including marginal temperature deficiencies","7813 7817 15TH AVE
BROOKLYN, NY 11228
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,12B,"Food or ingredient storage containers are not clean, covered or properly identified","7813 7817 15TH AVE
BROOKLYN, NY 11228
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,13B,Other required records/certifications are not maintained,"7813 7817 15TH AVE
BROOKLYN, NY 11228
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,14B,"Insect, birds or other vermin observed within the establishment (not likely to result in product contamination)","7813 7817 15TH AVE
BROOKLYN, NY 11228
"
Kings,05/24/2017,PAPA PASQUALE RAVIOLI&PSTA CO INC,PAPA PASQUALE RAVIOLI&P,7813-7817 15TH AVE,BROOKLYN,NY,11228,15B,"Non-contact food equipment, utensils or conveyances are not clean or in good repair","7813 7817 15TH AVE
BROOKLYN, NY 11228
"
New York,06/05/2017,DAGOSTINO SUPERMARKETS INC,DAGOSTINO 27,966 1ST AVE AT 53RD ST #,NEW YORK,NY,10022,04F,"Insect, rodent, bird or vermin activity likely to result in product contamination","966 1ST AVE AT 53RD ST
NEW YORK, NY 10022
"
New York,06/05/2017,DAGOSTINO SUPERMARKETS INC,DAGOSTINO 27,966 1ST AVE AT 53RD ST #,NEW YORK,NY,10022,09D,"Plumbing or sinks not properly sized, installed or maintained: equipment or floors not properly drained","966 1ST AVE AT 53RD ST
NEW YORK, NY 10022
"
New York,06/05/2017,DAGOSTINO SUPERMARKETS INC,DAGOSTINO 27,966 1ST AVE AT 53RD ST #,NEW YORK,NY,10022,09E,Lighting or ventilation is inadequate,"966 1ST AVE AT 53RD ST
NEW YORK, NY 10022
"
New York,06/05/2017,DAGOSTINO SUPERMARKETS INC,DAGOSTINO 27,966 1ST AVE AT 53RD ST #,NEW YORK,NY,10022,10C,"Interior floors, walls, ceilings or fixtures are not of suitable construction, clean or well maintained","966 1ST AVE AT 53RD ST
NEW YORK, NY 10022
"
New York,06/05/2017,DAGOSTINO SUPERMARKETS INC,DAGOSTINO 27,966 1ST AVE AT 53RD ST #,NEW YORK,NY,10022,12A,"Food not stored, conveyed or displayed in a manner that prevents contamination including marginal temperature deficiencies","966 1ST AVE AT 53RD ST
NEW YORK, NY 10022
"
New York,06/05/2017,DAGOSTINO SUPERMARKETS INC,DAGOSTINO 27,966 1ST AVE AT 53RD ST #,NEW YORK,NY,10022,13D,Article 28 posting requirements are not met,"966 1ST AVE AT 53RD ST
NEW YORK, NY 10022
"
New York,06/05/2017,DAGOSTINO SUPERMARKETS INC,DAGOSTINO 27,966 1ST AVE AT 53RD ST #,NEW YORK,NY,10022,15C,"Food equipment improperly designed, constructed or maintained","966 1ST AVE AT 53RD ST
NEW YORK, NY 10022
"
New York,06/05/2017,DAGOSTINO SUPERMARKETS INC,DAGOSTINO 27,966 1ST AVE AT 53RD ST #,NEW YORK,NY,10022,15F,Storage cabinets or shelves are not clean or in good repair,"966 1ST AVE AT 53RD ST
NEW YORK, NY 10022
"
Queens,06/23/2017,WESTERN BEEF RETAIL INC,WESTERN BEEF 2,44-44 COLLEGE POINT BLVD,FLUSHING,NY,11355,15C,"Food equipment improperly designed, constructed or maintained","44 44 COLLEGE POINT BLVD
FLUSHING, NY 11355
"
Queens,06/23/2017,WESTERN BEEF RETAIL INC,WESTERN BEEF 2,44-44 COLLEGE POINT BLVD,FLUSHING,NY,11355,15F,Storage cabinets or shelves are not clean or in good repair,"44 44 COLLEGE POINT BLVD
FLUSHING, NY 11355
"
Queens,06/16/2017,ULLAH ATIQUE,MINI FOOD MART,34-57 42ND ST,LONG ISLAND CITY,NY,11101,04F,"Insect, rodent, bird or vermin activity likely to result in product contamination","34 57 42ND ST
LONG ISLAND CITY, NY 11101
"
Queens,06/16/2017,ULLAH ATIQUE,MINI FOOD MART,34-57 42ND ST,LONG ISLAND CITY,NY,11101,09A,Handwashing facilities improperly installed or maintained,"34 57 42ND ST
LONG ISLAND CITY, NY 11101
"
Queens,06/16/2017,ULLAH ATIQUE,MINI FOOD MART,34-57 42ND ST,LONG ISLAND CITY,NY,11101,09C,"Toilet facilities improperly installed, equipped or maintained","34 57 42ND ST
LONG ISLAND CITY, NY 11101
"
Queens,06/16/2017,ULLAH ATIQUE,MINI FOOD MART,34-57 42ND ST,LONG ISLAND CITY,NY,11101,10A,Exterior of unsuitable construction or not in good physical repair,"34 57 42ND ST
LONG ISLAND CITY, NY 11101
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,09A,Handwashing facilities improperly installed or maintained,"105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,10A,Exterior of unsuitable construction or not in good physical repair,"105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,10C,"Interior floors, walls, ceilings or fixtures are not of suitable construction, clean or well maintained","105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,10D,"Refuse containers not clean, covered, in good repair or removed at sufficient intervals","105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,11B," Not wearing clean outer garments, effective hair restraints or secure jewelry","105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,11C,"Eating, drinking or use of tobacco in exposed food areas","105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,12A,"Food not stored, conveyed or displayed in a manner that prevents contamination including marginal temperature deficiencies","105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,14C,Evidence of pets or other domestic animals in establishment,"105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,15C,"Food equipment improperly designed, constructed or maintained","105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/05/2017,ARIAS RICHARD,ARIAS GROCERY,105-13 NORTHERN BLVD,CORONA,NY,11368,15D,Thermometers not provided where required,"105 13 NORTHERN BLVD
CORONA, NY 11368
"
Queens,06/29/2017,ESPUINA 100&34 GROCERY INC,ESQUINA 100&34 GROCERY,99-20 34TH AVE,CORONA,NY,11368,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","99 20 34TH AVE
CORONA, NY 11368
"
Queens,06/29/2017,ESPUINA 100&34 GROCERY INC,ESQUINA 100&34 GROCERY,99-20 34TH AVE,CORONA,NY,11368,04F,"Insect, rodent, bird or vermin activity likely to result in product contamination","99 20 34TH AVE
CORONA, NY 11368
"
Queens,06/29/2017,ESPUINA 100&34 GROCERY INC,ESQUINA 100&34 GROCERY,99-20 34TH AVE,CORONA,NY,11368,09A,Handwashing facilities improperly installed or maintained,"99 20 34TH AVE
CORONA, NY 11368
"
Queens,06/29/2017,ESPUINA 100&34 GROCERY INC,ESQUINA 100&34 GROCERY,99-20 34TH AVE,CORONA,NY,11368,10A,Exterior of unsuitable construction or not in good physical repair,"99 20 34TH AVE
CORONA, NY 11368
"
Bronx,05/09/2017,RDL MINI MART CORP,RDL MINI MART,182 WILLIS AVE,BRONX,NY,10454,15D,Thermometers not provided where required,"182 WILLIS AVE
BRONX, NY 10454
(40.807655, -73.923962)"
Putnam,05/15/2017,KOBACKERS MARKET INC,IGA 1068 KOBACKERS,570 N MAIN ST,BREWSTER,NY,10509,15F,Storage cabinets or shelves are not clean or in good repair,"570 N MAIN ST
BREWSTER, NY 10509
(41.402544, -73.618209)"
Queens,05/09/2017,SUPERIOR EXPRESS DELI&GROCERY COR,SUPERIOR EXPRESS DELI,116-02 LIBERTY AVE,RICHMOND HILL,NY,11419,10B,Establishment has insufficient space to accommodate operations,"116 02 LIBERTY AVE
RICHMOND HILL, NY 11419
"
Queens,05/09/2017,SUPERIOR EXPRESS DELI&GROCERY COR,SUPERIOR EXPRESS DELI,116-02 LIBERTY AVE,RICHMOND HILL,NY,11419,10C,"Interior floors, walls, ceilings or fixtures are not of suitable construction, clean or well maintained","116 02 LIBERTY AVE
RICHMOND HILL, NY 11419
"
Queens,05/09/2017,SUPERIOR EXPRESS DELI&GROCERY COR,SUPERIOR EXPRESS DELI,116-02 LIBERTY AVE,RICHMOND HILL,NY,11419,11B," Not wearing clean outer garments, effective hair restraints or secure jewelry","116 02 LIBERTY AVE
RICHMOND HILL, NY 11419
"
Queens,05/09/2017,SUPERIOR EXPRESS DELI&GROCERY COR,SUPERIOR EXPRESS DELI,116-02 LIBERTY AVE,RICHMOND HILL,NY,11419,14A,Evidence of rodents observed (not likely to result in product contamination),"116 02 LIBERTY AVE
RICHMOND HILL, NY 11419
"
Queens,05/09/2017,SUPERIOR EXPRESS DELI&GROCERY COR,SUPERIOR EXPRESS DELI,116-02 LIBERTY AVE,RICHMOND HILL,NY,11419,15B,"Non-contact food equipment, utensils or conveyances are not clean or in good repair","116 02 LIBERTY AVE
RICHMOND HILL, NY 11419
"
Queens,05/09/2017,SUPERIOR EXPRESS DELI&GROCERY COR,SUPERIOR EXPRESS DELI,116-02 LIBERTY AVE,RICHMOND HILL,NY,11419,15C,"Food equipment improperly designed, constructed or maintained","116 02 LIBERTY AVE
RICHMOND HILL, NY 11419
"
Queens,05/09/2017,SUPERIOR EXPRESS DELI&GROCERY COR,SUPERIOR EXPRESS DELI,116-02 LIBERTY AVE,RICHMOND HILL,NY,11419,15E,Unused equipment or materials improperly stored or in an unclean condition,"116 02 LIBERTY AVE
RICHMOND HILL, NY 11419
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,03D,Employee handwashing facilities inadequate for establishments handling exposed foods,"60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,04E,"Food contact equipment condition, design or location is likely to contribute to contamination","60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,09A,Handwashing facilities improperly installed or maintained,"60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,09C,"Toilet facilities improperly installed, equipped or maintained","60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,09D,"Plumbing or sinks not properly sized, installed or maintained: equipment or floors not properly drained","60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,09G,Sanitizing test devices not in use where required,"60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,10B,Establishment has insufficient space to accommodate operations,"60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,10C,"Interior floors, walls, ceilings or fixtures are not of suitable construction, clean or well maintained","60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,11C,"Eating, drinking or use of tobacco in exposed food areas","60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,12A,"Food not stored, conveyed or displayed in a manner that prevents contamination including marginal temperature deficiencies","60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,13B,Other required records/certifications are not maintained,"60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,15B,"Non-contact food equipment, utensils or conveyances are not clean or in good repair","60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,15C,"Food equipment improperly designed, constructed or maintained","60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,15E,Unused equipment or materials improperly stored or in an unclean condition,"60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,15F,Storage cabinets or shelves are not clean or in good repair,"60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,15G,"Packaging materials unclean, improperly stored or handled in an insanitary manner","60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,02/14/2017,DYNASTY VI FOOD CORP,KEY FOOD,60-16 MYRTLE AVE,RIDGEWOOD,NY,11385,16D,Morgue area or bottle return area improperly maintained,"60 16 MYRTLE AVE
RIDGEWOOD, NY 11385
"
Queens,04/25/2017,YAILIN FOOD CORP,KARINA GROCERY,188-19 JAMAICA AVE,HOLLIS,NY,11423,04E,"Food contact equipment condition, design or location is likely to contribute to contamination","188 19 JAMAICA AVE
HOLLIS, NY 11423
"
Queens,04/25/2017,YAILIN FOOD CORP,KARINA GROCERY,188-19 JAMAICA AVE,HOLLIS,NY,11423,04F,"Insect, rodent, bird or vermin activity likely to result in product contamination","188 19 JAMAICA AVE
HOLLIS, NY 11423
"
Queens,04/25/2017,YAILIN FOOD CORP,KARINA GROCERY,188-19 JAMAICA AVE,HOLLIS,NY,11423,09A,Handwashing facilities improperly installed or maintained,"188 19 JAMAICA AVE
HOLLIS, NY 11423
"
Queens,04/25/2017,YAILIN FOOD CORP,KARINA GROCERY,188-19 JAMAICA AVE,HOLLIS,NY,11423,09E,Lighting or ventilation is inadequate,"188 19 JAMAICA AVE
HOLLIS, NY 11423
"
Queens,04/25/2017,YAILIN FOOD CORP,KARINA GROCERY,188-19 JAMAICA AVE,HOLLIS,NY,11423,09F,"Cleaning or sanitizing equipment, materials or agents are not available, suitable or properly stored","188 19 JAMAICA AVE
HOLLIS, NY 11423
"
Queens,04/25/2017,YAILIN FOOD CORP,KARINA GROCERY,188-19 JAMAICA AVE,HOLLIS,NY,11423,10B,Establishment has insufficient space to accommodate operations,"188 19 JAMAICA AVE
HOLLIS, NY 11423
"
Queens,04/25/2017,YAILIN FOOD CORP,KARINA GROCERY,188-19 JAMAICA AVE,HOLLIS,NY,11423,10C,"Interior floors, walls, ceilings or fixtures are not of suitable construction, clean or well maintained","188 19 JAMAICA AVE
HOLLIS, NY 11423
"
Queens,04/25/2017,YAILIN FOOD CORP,KARINA GROCERY,188-19 JAMAICA AVE,HOLLIS,NY,11423,10D,"Refuse containers not clean, covered, in good repair or removed at sufficient intervals","188 19 JAMAICA AVE
HOLLIS, NY 11423
"
Queens,04/25/2017,YAILIN FOOD CORP,KARINA GROCERY,188-19 JAMAICA AVE,HOLLIS,NY,11423,11C,"Eating, drinking or use of tobacco in exposed food areas","188 19 JAMAICA AVE
HOLLIS, NY 11423
"
